GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Callistoctopus sp. NSMTMo74815,,0,0,0,0,207107980,0,0,0,0,0
Chiroteuthis calyx,_,0,209969953,209969999,209970047,209970103,0,209970211,0,0,0
Chiroteuthis mega,_,0,209969941,209969998,209970034,209970083,0,209970215,0,0,0
Chiroteuthis veranyi,_,0,209969962,209970000,209970054,209970125,0,209970213,0,0,0
Chtenopteryx sicula,_,34542039,34542069,209969986,209970043,209970097,0,209970173,0,0,0
Chtenopteryx sp. ARL 2008,_,0,209969967,209969987,209970060,209970135,0,209970175,0,0,0
Cirroctopus glacialis,,0,28629084,0,0,15421817,0,0,0,0,0
Cirroctopus hochbergi,,0,21912808,0,0,0,0,0,0,0,0
Cirroteuthis muelleri,,0,28629064,0,0,0,0,0,0,0,0
Cirrothauma murrayi,,0,28629062,49482061,49482119,4003417,0,0,0,0,0
Cistopus indicus,,0,18073263,0,0,207107982,76359248,0,0,0,0
Cistopus sp. JMS 2004,,48994421,0,0,0,0,0,0,48994475,48994577,48994531
Cranchia scabra,_,48994436,209969918,49482092,49482145,4003419,0,50347025,48994519,48994611,48994561
Cycloteuthis sirventyi,_,0,209969920,49482094,49482147,4003421,0,50347029,0,0,0
Discoteuthis discus,_,0,209969945,209969994,209970039,209970091,0,209970227,0,0,0
Discoteuthis laciniosa,_,0,209969921,49482095,49482148,4003423,0,50347031,0,0,0
Doratosepion sp. LB 2005,,77157303,0,0,0,0,0,0,0,0,0
Doryteuthis gahi,_,0,93004761,0,0,5678658,0,0,0,0,0
Doryteuthis opalescens,_,2402666124,2402666123,0,0,2402666121,2402666122,0,12055096,0,1778016
Doryteuthis pealei,_,0,56567271,34369176,34369209,18026439,0,38607257,0,0,0
Doryteuthis plei,_,0,93004765,0,0,14120087,0,0,0,0,0
Dosidicus gigas,_,1548161314,1548161313,209970009,209970049,1548161311,1548161312,209970229,0,0,0
Eledone cirrhosa,_,48994420,18073265,49482072,0,0,0,0,48994473,48994575,48994529
Eledone massyae,,0,18073266,0,0,0,0,0,0,0,0
Eledone moschata,,0,18073267,0,0,0,0,0,0,0,0
Enoploteuthis galaxias,,0,3175997,0,0,0,0,0,0,0,0
Enoploteuthis higginsi,_,48994430,3175998,0,0,0,0,0,48994495,48994599,48994549
Enoploteuthis leptura,_,0,209969922,49482098,49482151,0,0,50347035,0,0,0
Enoploteuthis reticulata,,0,498933,0,0,4003427,0,0,0,0,0
Enoploteuthis sp. BL 2001,,0,0,0,18375783,0,0,0,0,0,0
Enteroctopus dofleini,_,62005876,45510940,0,0,62084159,239735795,0,45510965,0,45511018
Enteroctopus magnificus,,0,18076180,0,0,0,0,0,0,0,0
Eucleoteuthis luminosa,_,0,209969960,209970010,0,209970119,0,209970225,0,0,0
Euprymna berryi,_,34542045,14161379,0,34542098,13195587,0,0,0,0,0
Euprymna hyllebergi,_,34542048,34542074,0,34542099,34542132,0,0,0,0,0
Euprymna morsei,,62005906,34542070,0,34542100,0,0,0,0,0,0
Euprymna scolopes,_,34542046,34542072,0,34542097,34542128,0,0,48994346,48994378,21667880
Euprymna sp.,,0,498935,0,0,0,0,0,0,0,0
Euprymna tasmanica,_,34542047,34542073,0,34542108,34542130,0,0,0,48994587,48994541
Galiteuthis armata,_,0,0,209970023,209970053,209970151,0,209970188,0,0,0
Galiteuthis sp. JMS 2004,_,48994433,48994461,0,0,0,0,0,48994483,48994605,48994555
Gonatopsis borealis,,58202061,58202086,0,0,4927137,0,0,0,0,0
Gonatopsis japonicus,,58202058,58202080,0,0,58202112,0,0,0,0,0
Gonatopsis octopedatus,_,58202060,58202085,209970027,209970071,58202122,0,0,0,0,0
Gonatopsis okutanii,,0,209969981,209970028,0,209970161,0,0,0,0,0
