GenBank Name,Fig. 1,12S,16S,18S,28S,COI,cytb,H3,odh,opsin,pax
Sepia lorigera,_,62909941,62909937,0,0,62909946,242117711,0,0,0,0
Sepia lycidas,_,62241206,62241198,0,0,62241216,242117713,0,0,0,0
Sepia madokai,,0,77157330,0,0,242117675,242117715,0,0,0,0
Sepia officinalis,_,892552844,892552843,49482076,49482134,892552841,892552842,50346995,13561068,0,121495688
Sepia opipara,,77157308,0,0,0,4003475,0,0,0,0,0
Sepia orbignyana,,77157309,498950,0,0,0,0,0,0,0,0
Sepia papuensis,,77157310,498951,0,0,0,0,0,0,0,0
Sepia pardex,_,62909940,62909936,0,0,62909944,242117717,0,0,0,0
Sepia peterseni,_,62241209,62241201,0,0,62241220,242117719,0,0,0,0
Sepia pharaonis,_,77157311,116041621,0,0,14028758,242117721,0,48994348,48994380,48994410
Sepia plangon,,77157312,0,0,0,0,0,0,0,0,0
Sepia prashadi,,0,0,0,0,242117679,242117723,0,0,0,0
Sepia recurvirostra,_,77157321,77157329,0,0,242117681,242117725,0,0,0,0
Sepia rex,,77157314,0,0,0,0,0,0,0,0,0
Sepia robsoni,,0,14150654,0,0,13195591,0,0,0,0,0
Sepia smithi,,77157313,77157333,0,0,0,0,0,0,0,0
Sepia sp. SI0604,_,62909942,62909938,0,0,62909948,242117733,0,0,0,0
Sepia subtenuipes,,0,0,0,0,0,242117735,0,0,0,0
Sepia tenuipes,_,0,0,0,0,242117683,242117727,0,0,0,0
Sepia tokioensis,_,0,0,0,0,242117685,242117729,0,0,0,0
Sepia whitleyana,,77157315,0,0,0,0,0,0,0,0,0
Sepiadarium austrinum,_,48994423,48994450,0,0,0,0,0,48994479,48994581,48994535
Sepiadarium kochi,_,62005907,34542087,0,34542111,38154317,0,0,0,0,0
Sepiella inermis,_,0,209969906,49482075,49482133,0,0,209970167,0,0,0
Sepiella japonica,_,77157302,48994452,0,0,242117691,242117737,0,48994481,48994585,48994539
Sepiella maindroni,,62241211,62241203,0,0,13195581,0,0,0,0,0
Sepietta neglecta,_,34542056,34542082,0,34542105,34542148,0,0,0,0,0
Sepietta obscura,_,34542057,34542083,0,34542104,34542150,0,0,0,0,0
Sepietta oweniana,,34542058,34542084,0,0,34542152,0,0,0,0,0
Sepietta sp.,,0,498954,0,0,0,0,0,0,0,0
Sepiola affinis,_,34542050,209969909,49482079,34542106,34542136,0,50347001,0,0,0
Sepiola atlantica,_,34542055,34542081,0,34542102,34542146,0,0,0,0,0
Sepiola birostrata,_,34542049,34542075,0,34542103,34542134,0,0,0,0,0
Sepiola intermedia,_,34542052,34542078,0,34542109,34542140,0,0,0,0,0
Sepiola ligulata,_,34542051,34542077,0,34542101,34542138,0,0,0,0,0
Sepiola robusta,_,34542053,34542079,0,34542110,34542142,0,0,0,0,0
Sepiola rondeleti,,34542054,34542080,0,0,34542144,0,0,0,0,0
Sepiola sp,,0,498952,0,0,0,0,0,0,0,0
Sepiolina nipponensis,_,34542062,34542088,0,34542091,34542158,0,0,0,0,0
Sepioloidea lineolata,_,48994422,48994449,0,0,4003477,0,0,48994477,48994579,48994533
Sepioteuthis australis,_,48762899,93004772,0,0,4003479,0,0,48994334,48994366,48994396
Sepioteuthis lessoniana,_,892554074,892554073,49482085,49482140,890008521,892554072,50347013,48994336,48994368,48994398
Sepioteuthis sepioidea,,0,93004775,0,0,5678651,0,0,0,0,0
Spirula spirula,_,34542040,498953,49482081,18076661,34542122,0,50347005,45510983,45511084,45511036
Stauroteuthis gilchristi,_,45510909,45510933,0,0,0,0,0,45510947,45511046,45510998
Stauroteuthis sp. Bahia,,0,28629076,0,0,0,0,0,0,0,0
Stauroteuthis syrtensis,_,0,82622206,49482062,0,4003483,0,50346978,0,0,0
Sthenoteuthis oualaniensis,_,1869200834,1869200833,49482116,209970057,1869200831,1869200832,209970223,45510989,45511088,45511042
Stoloteuthis leucoptera,_,34542064,209969910,49482080,34542113,4003485,0,50347003,0,0,0
Taningia danae,_,0,209969982,209970029,209970072,209970163,0,209970233,0,0,0
Taonius borealis,,0,0,0,0,5678674,0,0,0,0,0
Taonius pavo,_,0,209969961,209969992,209970052,209970121,0,209970184,0,0,0
Teuthowenia megalops,_,48994435,48994458,0,0,48762890,0,0,48994509,48994609,48994559
Thaumeledone brevis,,0,0,0,0,0,0,0,0,0,161611121
Thaumeledone gunteri,_,161611175,18027462,49482074,0,0,161598196,50346993,161611143,158828833,161611123
Thaumeledone peninsulae,_,161611171,162956983,0,0,0,161598190,0,161611145,158828835,161611125
Thaumeledone rotunda,_,161611170,161611152,0,0,0,161598186,0,161611141,158828831,0
Thaumeledone sp. CYV 2001,,0,0,0,0,15421845,0,0,0,0,0
Thysanoteuthis rhombus,_,62005901,209969952,209970017,209970046,209970101,0,209970251,0,0,0
Todarodes filippovae,,0,498955,0,0,0,0,0,0,0,0
Todarodes pacificus,_,537939954,537939953,0,18076665,537939951,537939952,0,0,0,0
Todaropsis eblanae,_,48994438,48994462,0,0,0,0,0,48994489,48994615,48994565
Tremoctopus violaceus,_,45510912,18076192,0,0,15421849,0,0,45510992,45511052,45511004
Uroteuthis chinensis,_,0,209969912,23450949,49482138,28207579,0,50347009,0,0,0
Uroteuthis duvauceli,,0,3618168,0,0,5678659,0,0,0,0,0
Uroteuthis edulis,,0,3618173,0,0,169247791,0,0,0,0,0
Uroteuthis noctiluca,_,34542041,34542065,0,34542094,34542116,0,0,0,0,0
Uroteuthis sp. JMS 2004,_,48762901,48762912,0,0,0,0,0,48994338,48994370,48994400
Vampyroteuthis infernalis,_,1531248574,1531248573,34369180,0,1531248571,1531248572,50346982,45510945,45511044,45510996
Velodona togata,_,161611172,161611154,0,0,0,161598184,0,161611147,158828837,161611127
Vitreledonella richardi,_,45510923,45510943,0,0,13249500,0,0,45510971,45511074,45511026
Vulcanoctopus hydrothermalis,,239735815,239735812,0,0,0,0,0,0,0,0
Watasenia scintillans,_,893373944,893373943,0,0,893373941,893373942,0,0,0,0
